type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
LAE	3.8706e+03	5.4099e-17	9.3800e-02	2.8821e+02
LAE	4.1413e+03	4.5870e-17	2.0260e-01	1.2952e+02
OII	4.0773e+03	5.3370e-17	1.9980e+00	1.4812e+01
LAE	4.0353e+03	6.7089e-17	1.4933e+00	2.4403e+01
LAE	4.0724e+03	6.4811e-17	2.3530e-01	1.5237e+02
LAE	3.8895e+03	9.1782e-17	5.5720e-01	8.3123e+01
OII	4.0005e+03	5.8402e-17	1.4256e+01	2.1870e+00
LAE	3.9555e+03	5.2448e-17	2.6130e-01	1.0475e+02
LAE	4.0857e+03	9.4484e-17	1.5207e+00	3.4595e+01
OII	4.0425e+03	5.4128e-17	9.2584e+00	3.1869e+00
LAE	4.0017e+03	1.1747e-16	2.2780e-01	2.7545e+02
OII	4.1832e+03	1.9562e-16	8.7217e+01	1.3092e+00
LAE	3.8889e+03	5.8130e-17	1.4587e+00	2.0104e+01
LAE	3.9549e+03	9.5565e-17	2.9400e-01	1.6959e+02
OII	3.9702e+03	1.5938e-16	7.3369e+01	1.1421e+00
LAE	3.8097e+03	5.8852e-17	2.0670e-01	1.3784e+02
LAE	3.9813e+03	6.2420e-17	1.4820e-01	2.2269e+02
LAE	4.0877e+03	6.8850e-17	2.6210e-01	1.4641e+02
LAE	3.8930e+03	9.3816e-17	2.2130e-01	2.1431e+02
LAE	4.0689e+03	5.9088e-17	1.1485e+00	2.8411e+01
LAE	4.0336e+03	5.9839e-17	1.7161e+00	1.8924e+01
LAE	3.9110e+03	1.4062e-16	3.1020e-01	2.3129e+02
OII	4.1538e+03	2.3947e-16	7.5288e+01	1.8306e+00
LAE	3.9546e+03	5.3491e-17	4.9660e-01	5.6190e+01
LAE	3.9107e+03	1.0521e-16	1.0420e-01	5.1509e+02
OII	4.1253e+03	2.4197e-16	1.5057e+04	9.1000e-03
LAE	4.1679e+03	6.8659e-17	5.8220e-01	6.8335e+01
LAE	3.9847e+03	6.0935e-17	4.6500e-01	6.9405e+01
LAE	3.8413e+03	6.8634e-17	8.9800e-02	3.7619e+02
LAE	4.0319e+03	5.3583e-17	5.6800e-02	5.1152e+02
LAE	4.1953e+03	6.8586e-17	1.0430e-01	3.8606e+02
LAE	3.8473e+03	7.5230e-17	1.5940e-01	2.3302e+02
OII	4.1347e+03	2.6298e-15	2.3129e+02	6.4839e+00
LAE	4.1150e+03	2.1458e-16	3.5740e-01	3.3911e+02
LAE	3.8951e+03	9.0530e-17	1.3940e-01	3.2867e+02
LAE	3.8068e+03	6.2821e-17	2.2230e-01	1.3660e+02
LAE	4.0068e+03	1.6296e-16	2.8170e-01	3.0979e+02
OII	4.1607e+03	1.1392e-15	2.4407e+01	2.6952e+01
LAE	3.9885e+03	9.7884e-17	2.3930e-01	2.1705e+02
LAE	3.8899e+03	6.1318e-17	6.1700e-02	5.0161e+02
LAE	4.0855e+03	7.8163e-17	4.5670e-01	9.5288e+01
LAE	3.9309e+03	5.8118e-17	2.5290e-01	1.1845e+02
LAE	3.8720e+03	6.4152e-17	4.7760e-01	6.7172e+01
LAE	3.8796e+03	7.4674e-17	3.8200e-02	9.8144e+02
LAE	4.1053e+03	1.0856e-16	2.1080e-01	2.8951e+02
LAE	3.8259e+03	2.0895e-16	2.6976e+00	3.7820e+01
LAE	4.0250e+03	1.3458e-16	1.9241e+00	3.7798e+01
LAE	4.0991e+03	5.2675e-17	2.9490e-01	1.0011e+02
OII	4.1451e+03	9.6763e-17	2.8160e+00	1.9694e+01
OII	4.0958e+03	1.1748e-16	6.9645e+01	9.4390e-01
LAE	3.8237e+03	9.3542e-17	4.0940e-01	1.1143e+02
LAE	4.1622e+03	6.7986e-17	1.4551e+00	2.6999e+01
LAE	3.9858e+03	9.5959e-17	2.6010e-01	1.9551e+02
OII	4.1953e+03	9.3587e-17	8.7532e+00	6.2770e+00
LAE	4.1110e+03	6.6798e-17	4.1166e+00	9.1472e+00
LAE	4.0149e+03	1.0563e-16	1.7995e+00	3.1561e+01
LAE	4.1464e+03	6.7191e-17	1.0810e-01	3.5645e+02
LAE	3.9261e+03	5.6983e-17	5.7698e+00	5.0779e+00
LAE	3.8751e+03	5.5721e-17	9.1520e-01	3.0497e+01
OII	4.1525e+03	1.7932e-16	1.0061e+01	1.0251e+01
LAE	3.9902e+03	5.6845e-17	9.6350e-01	3.1334e+01
LAE	4.1160e+03	5.3254e-17	3.0360e-01	9.9123e+01
LAE	4.1790e+03	8.8108e-17	4.5020e-01	1.1401e+02
LAE	3.9156e+03	1.2737e-16	1.2928e+00	5.0387e+01
LAE	4.1254e+03	5.7237e-17	3.4670e-01	9.3720e+01
OII	4.1723e+03	1.2090e-16	3.7178e+01	1.8883e+00
LAE	4.0988e+03	5.4546e-17	3.7870e-01	8.0715e+01
LAE	3.8361e+03	6.7033e-17	2.5907e+00	1.2701e+01
OII	3.9998e+03	3.6292e-16	1.2872e+02	1.5045e+00
OII	3.9391e+03	5.1457e-17	2.9124e+01	9.1450e-01
LAE	4.0624e+03	5.4066e-17	1.9370e-01	1.5366e+02
LAE	4.0844e+03	1.3099e-16	5.2330e-01	1.3929e+02
LAE	4.1095e+03	6.0620e-17	5.8420e-01	5.8454e+01
LAE	4.1374e+03	7.8279e-17	3.8070e-01	1.1741e+02
LAE	3.8140e+03	1.2424e-16	2.1920e-01	2.7503e+02
OII	3.9731e+03	3.4340e-16	1.7129e+02	1.0556e+00
LAE	4.1605e+03	1.0212e-16	2.4635e+00	2.3935e+01
LAE	3.9389e+03	1.0663e-16	3.1570e-01	1.7480e+02
LAE	4.1525e+03	6.5455e-17	9.2000e-02	4.0922e+02
LAE	4.0254e+03	6.7518e-17	3.1300e-01	1.1659e+02
LAE	3.8108e+03	8.0695e-17	9.4700e-02	4.1277e+02
LAE	4.0109e+03	5.2183e-17	4.6800e-01	5.9834e+01
LAE	4.0130e+03	5.2270e-17	2.8017e+00	1.0022e+01
LAE	4.0514e+03	1.6067e-16	5.9450e-01	1.4797e+02
LAE	4.0801e+03	5.4783e-17	9.1010e-01	3.3425e+01
OII	4.0788e+03	8.0640e-17	1.1348e+03	3.9400e-02
LAE	3.9931e+03	6.1089e-17	3.9190e-01	8.2908e+01
LAE	4.0233e+03	7.5847e-17	1.6890e-01	2.4246e+02
LAE	4.1954e+03	7.9503e-17	4.4890e-01	1.0398e+02
LAE	3.8038e+03	7.7161e-17	8.4050e-01	4.4307e+01
LAE	4.1102e+03	1.0699e-16	5.6005e+01	1.0765e+00
LAE	4.1993e+03	1.3613e-16	1.2722e+00	6.2939e+01
LAE	4.0413e+03	1.3129e-16	7.3860e-01	9.6837e+01
OII	3.9365e+03	7.5782e-17	1.2398e+02	3.1590e-01
OII	4.1967e+03	3.5068e-16	5.4546e+01	3.7769e+00
LAE	3.9526e+03	7.4733e-17	8.2500e-02	4.7208e+02
LAE	4.1616e+03	6.8724e-17	1.0391e+00	3.8207e+01
LAE	4.1263e+03	6.8266e-17	1.3628e+00	2.8450e+01
LAE	3.8756e+03	7.7523e-17	2.5514e+00	1.5223e+01
OII	4.1663e+03	5.5541e-17	7.6657e+00	4.1952e+00
LAE	3.8608e+03	7.9722e-17	9.2850e-01	4.2691e+01
OII	4.1579e+03	1.2222e-15	1.6635e+02	4.2369e+00
OII	4.0922e+03	6.2527e-17	1.2371e+01	2.8232e+00
LAE	4.1835e+03	1.9767e-16	9.3080e-01	1.2398e+02
LAE	3.8185e+03	6.5438e-17	1.6840e-01	1.8899e+02
LAE	4.1429e+03	9.1478e-17	1.9950e-01	2.6252e+02
OII	4.1179e+03	1.7937e-16	4.3087e+01	2.3547e+00
LAE	4.0198e+03	8.7698e-17	7.3931e+00	6.3938e+00
LAE	3.9882e+03	1.5116e-16	5.5750e-01	1.4386e+02
LAE	3.8750e+03	7.7049e-17	3.2300e-02	1.1948e+03
OII	4.1085e+03	1.2677e-16	9.3886e+01	7.6020e-01
LAE	4.0356e+03	8.2688e-17	3.1030e-01	1.4477e+02
LAE	4.0060e+03	1.5452e-16	8.4002e+00	9.8467e+00
LAE	4.1491e+03	1.1990e-16	3.7950e-01	1.8143e+02
LAE	3.8781e+03	9.2420e-17	3.3280e-01	1.3931e+02
LAE	3.8502e+03	6.5392e-17	-2.7700e-02	1.0000e+04
LAE	4.1717e+03	5.8661e-17	1.5663e+00	2.1741e+01
LAE	3.9755e+03	9.0991e-17	3.9271e+02	1.2210e-01
LAE	4.0636e+03	5.4560e-17	7.7400e-02	3.8827e+02
LAE	4.1784e+03	1.1492e-16	4.0030e-01	1.6719e+02
LAE	4.0205e+03	5.4708e-17	2.9600e-02	9.9655e+02
LAE	3.8362e+03	9.2285e-17	3.0440e-01	1.4882e+02
OII	3.9749e+03	9.8328e-17	9.0841e+00	5.7047e+00
LAE	4.1221e+03	5.1509e-17	3.5270e-01	8.2774e+01
LAE	4.1988e+03	5.6046e-17	5.4880e-01	6.0058e+01
LAE	3.8325e+03	3.0365e-16	5.2480e-01	2.8348e+02
LAE	4.1521e+03	6.0260e-17	1.8740e-01	1.8491e+02
LAE	4.1165e+03	4.7558e-17	4.7560e-01	5.6522e+01
LAE	4.1979e+03	4.4049e-17	4.7290e-01	5.4752e+01
OII	4.0883e+03	2.5125e-16	7.7184e+01	1.8149e+00
OII	3.8773e+03	7.4357e-16	6.1944e+01	6.0195e+00
LAE	4.0381e+03	9.2679e-17	1.8600e-02	2.7103e+03
LAE	4.1929e+03	6.5525e-17	6.0000e-04	6.4041e+04
OII	3.8380e+03	2.9011e-16	1.7165e+02	8.3040e-01
OII	4.0098e+03	1.1243e-16	6.1613e+00	9.7867e+00
OII	4.1678e+03	3.7277e-15	2.8730e+02	7.5180e+00
LAE	3.9788e+03	7.2807e-17	9.6700e-02	3.9759e+02
LAE	4.1550e+03	5.9673e-17	4.6050e-01	7.4621e+01
LAE	3.8360e+03	1.8178e-16	8.5400e-02	1.0448e+03
LAE	4.1237e+03	6.6629e-17	5.5500e-01	6.8095e+01
LAE	4.0046e+03	5.7114e-17	3.0900e-01	9.8873e+01
LAE	3.9567e+03	1.3813e-16	1.2730e-01	5.6663e+02
OII	4.1119e+03	1.5210e-15	1.4441e+02	5.9404e+00
OII	4.1865e+03	6.1979e-16	1.0741e+02	3.3736e+00
LAE	3.9739e+03	5.8991e-17	2.2120e-01	1.4048e+02
LAE	3.9717e+03	4.5841e-17	1.4030e-01	1.7192e+02
LAE	3.9369e+03	5.7507e-17	4.5490e-01	6.5357e+01
LAE	3.8596e+03	6.9647e-17	2.7010e-01	1.2813e+02
LAE	4.0557e+03	8.5028e-17	1.0486e+00	4.4491e+01
OII	4.1066e+03	1.4279e-16	2.5154e+01	3.1932e+00
LAE	4.0419e+03	5.6723e-17	3.3820e-01	9.1397e+01
OII	3.9671e+03	3.5994e-16	4.5768e+01	4.1286e+00
OII	4.0944e+03	1.7757e-16	1.3154e+01	7.5487e+00
LAE	3.8737e+03	2.0336e-16	3.8820e-01	2.6221e+02
LAE	4.0315e+03	6.6373e-17	7.7370e-01	4.6508e+01
OII	4.1531e+03	5.7200e-17	3.1869e+01	1.0326e+00
LAE	3.8314e+03	6.5329e-17	5.2550e-01	6.0872e+01
LAE	4.1948e+03	4.4404e-17	2.3810e-01	1.0946e+02
OII	4.0118e+03	5.9060e-16	6.5034e+01	4.8754e+00
LAE	3.8278e+03	9.4075e-17	1.0618e+00	4.3302e+01
LAE	4.0306e+03	1.0714e-16	4.1480e-01	1.3997e+02
LAE	4.1727e+03	9.1192e-17	2.6730e-01	1.9814e+02
LAE	3.8687e+03	6.3425e-17	3.0600e-01	1.0348e+02
LAE	4.1545e+03	4.8657e-17	9.0190e-01	3.1060e+01
LAE	3.9033e+03	9.4896e-17	3.1200e-02	1.5457e+03
LAE	3.8793e+03	6.7800e-17	9.6520e-01	3.5262e+01
LAE	3.9227e+03	5.5890e-17	-5.1500e-02	1.0000e+04
LAE	4.0488e+03	5.3267e-17	3.9700e-01	7.3366e+01
LAE	3.9983e+03	7.6281e-17	3.3020e-01	1.2319e+02
LAE	4.1382e+03	4.9386e-17	3.5500e-02	7.9464e+02
LAE	4.1279e+03	7.6074e-17	8.9880e-01	4.8107e+01
LAE	4.0745e+03	5.8173e-17	5.6740e-01	5.6775e+01
LAE	4.0148e+03	7.9930e-17	2.5340e-01	1.6960e+02
LAE	4.0959e+03	5.8145e-17	2.9100e-01	1.1181e+02
LAE	3.9024e+03	6.1038e-17	7.4260e-01	4.1752e+01
LAE	3.8808e+03	1.2251e-16	1.4383e+00	4.2791e+01
LAE	3.8773e+03	7.3605e-17	4.1610e-01	8.8707e+01
OII	4.0480e+03	8.0708e-17	1.0644e+01	4.1444e+00
LAE	4.0062e+03	1.3614e-16	1.3776e+00	5.2905e+01
OII	4.0643e+03	5.3224e-17	7.2998e+00	4.0175e+00
LAE	3.8724e+03	5.3656e-17	4.9320e-01	5.4418e+01
LAE	4.1730e+03	1.2629e-16	7.1690e-01	1.0233e+02
LAE	4.0392e+03	5.5853e-17	1.0930e-01	2.7810e+02
LAE	4.0622e+03	6.0269e-17	3.0077e+01	1.1029e+00
LAE	4.1884e+03	9.1231e-17	9.1794e+00	5.8158e+00
OII	4.1946e+03	6.4925e-17	2.9958e+00	1.2720e+01
LAE	4.1034e+03	7.3158e-17	2.4670e-01	1.6655e+02
LAE	3.9698e+03	6.1420e-17	5.4600e-01	5.9135e+01
LAE	3.8835e+03	1.3468e-16	-1.2350e-01	1.0000e+04
LAE	4.1304e+03	5.0051e-17	1.4570e-01	1.9548e+02
LAE	3.9948e+03	5.6903e-17	4.8600e-02	6.2326e+02
OII	3.8396e+03	1.4727e-15	8.2702e+01	8.7568e+00
OII	4.0777e+03	2.4872e-16	2.9023e+01	4.7531e+00
LAE	4.1092e+03	1.4047e-16	1.0321e+01	7.6659e+00
LAE	3.9226e+03	1.6257e-16	2.1300e-01	3.9174e+02
LAE	4.0606e+03	5.8467e-17	2.5492e+00	1.2614e+01
LAE	3.9334e+03	5.2841e-17	1.5003e+00	1.8176e+01
LAE	4.1999e+03	1.3016e-16	3.3290e-01	2.3004e+02
LAE	3.8737e+03	1.0115e-16	8.4860e-01	5.9660e+01
LAE	4.1436e+03	6.9452e-17	7.2500e-02	5.4864e+02
OII	3.8878e+03	3.2277e-15	1.4394e+02	1.1306e+01
LAE	4.0477e+03	5.2255e-17	3.8770e-01	7.3659e+01
LAE	3.8829e+03	5.7699e-17	1.4620e-01	1.9847e+02
LAE	4.0650e+03	5.0007e-17	3.7000e-02	7.4495e+02
LAE	3.8734e+03	7.0853e-17	4.3980e-01	8.0623e+01
LAE	3.8858e+03	9.7610e-17	7.9802e+00	6.1606e+00
LAE	4.1961e+03	4.4976e-17	2.5040e-01	1.0549e+02
LAE	4.1702e+03	7.5951e-17	3.0240e-01	1.4570e+02
LAE	3.9630e+03	7.4891e-17	9.8090e-01	3.9998e+01
LAE	4.0925e+03	4.9214e-17	3.0080e-01	9.1405e+01
LAE	3.9052e+03	7.4491e-17	7.8660e-01	4.8174e+01
LAE	3.8939e+03	5.6913e-17	1.3550e-01	2.1243e+02
LAE	3.8743e+03	8.7038e-17	1.9990e-01	2.1800e+02
LAE	4.1014e+03	1.1192e-16	4.8440e-01	1.2964e+02
LAE	3.9824e+03	5.1208e-17	1.9900e-01	1.3613e+02
LAE	4.0572e+03	5.3088e-17	1.7430e-01	1.6723e+02
LAE	3.8779e+03	7.7823e-17	1.4870e-01	2.6252e+02
LAE	4.0038e+03	5.5850e-17	2.3900e-02	1.2496e+03
LAE	3.8613e+03	9.9244e-17	2.1900e-01	2.2538e+02
LAE	4.0158e+03	9.9901e-17	3.8360e-01	1.4009e+02
LAE	3.8900e+03	1.4507e-16	3.1420e-01	2.3305e+02
OII	4.0161e+03	3.7873e-16	7.0895e+01	2.8741e+00
LAE	4.0052e+03	7.8188e-17	3.9717e+00	1.0534e+01
LAE	4.0501e+03	8.0870e-17	6.5040e-01	6.8031e+01
LAE	3.9889e+03	6.1975e-17	6.0820e-01	5.4084e+01
LAE	3.9530e+03	6.9302e-17	2.1990e-01	1.6427e+02
LAE	4.0840e+03	8.0566e-17	2.2650e-01	1.9790e+02
LAE	4.1497e+03	9.0468e-17	1.2262e+00	4.2379e+01
OII	3.9957e+03	4.0560e-16	2.1053e+01	1.0260e+01
LAE	3.8756e+03	1.0641e-16	5.0736e+01	1.0508e+00
LAE	4.1499e+03	7.9605e-17	3.8870e-01	1.1764e+02
LAE	3.9339e+03	4.6501e-17	2.7970e-01	8.5823e+01
OII	4.1700e+03	4.2199e-15	2.7965e+02	8.7529e+00
OII	4.0591e+03	7.3141e-16	3.9940e+02	1.0065e+00
OII	4.1917e+03	1.4577e-16	8.1257e+00	1.0514e+01
LAE	3.8707e+03	6.3197e-17	2.5210e-01	1.2528e+02
LAE	3.9982e+03	5.1219e-17	3.2320e-01	8.4503e+01
LAE	4.1864e+03	8.6578e-17	6.1460e-01	8.2351e+01
LAE	3.9906e+03	7.3129e-17	2.5090e-01	1.5483e+02
LAE	3.8023e+03	7.6781e-17	1.9480e-01	1.9008e+02
LAE	3.8624e+03	8.0616e-17	2.6738e+00	1.5003e+01
LAE	3.8303e+03	6.7194e-17	2.5150e-01	1.3075e+02
LAE	4.1166e+03	1.4973e-16	3.2698e+01	2.5885e+00
LAE	4.0862e+03	5.4408e-17	1.0021e+00	3.0240e+01
OII	4.1755e+03	9.3535e-17	2.7850e+01	1.9531e+00
LAE	3.9743e+03	7.5853e-17	1.7350e-01	2.3034e+02
OII	4.1393e+03	1.8233e-16	1.5014e+01	6.9403e+00
LAE	3.9692e+03	7.1140e-17	2.6800e-01	1.3950e+02
LAE	4.1529e+03	6.0601e-17	1.3520e-01	2.5786e+02
OII	4.1347e+03	2.3579e-15	4.7126e+02	2.8532e+00
LAE	3.8924e+03	8.7480e-17	4.7720e-01	9.2644e+01
LAE	3.8558e+03	5.9615e-17	8.7500e-02	3.3788e+02
LAE	3.9354e+03	9.8686e-17	1.0960e-01	4.6517e+02
LAE	3.9324e+03	4.5424e-17	1.1020e-01	2.1262e+02
OII	3.9051e+03	7.3716e-16	2.0024e+02	1.8726e+00
LAE	3.9075e+03	1.6978e-16	3.9940e-01	2.1650e+02
LAE	4.1139e+03	7.3794e-17	3.5270e-01	1.1811e+02
LAE	3.8708e+03	8.9943e-17	2.2225e+00	2.0225e+01
LAE	3.9428e+03	1.9816e-16	6.2540e-01	1.6430e+02
LAE	3.9439e+03	6.6491e-17	1.0241e+01	3.3686e+00
LAE	3.9711e+03	1.0288e-16	3.6010e-01	1.5028e+02
LAE	3.8090e+03	8.7601e-17	2.6330e-01	1.6101e+02
LAE	4.0358e+03	1.0847e-16	3.5930e-01	1.6402e+02
LAE	3.9104e+03	7.4160e-17	1.4460e-01	2.6160e+02
LAE	3.9618e+03	5.8109e-17	1.4640e-01	2.0781e+02
LAE	4.1284e+03	9.2753e-17	1.5070e-01	3.4991e+02
LAE	4.1958e+03	5.3125e-17	6.1100e-01	5.1058e+01
LAE	4.1815e+03	7.9803e-17	1.6350e-01	2.8467e+02
LAE	4.0549e+03	5.4153e-17	2.2800e-01	1.3026e+02
OII	4.1631e+03	4.4680e-16	9.8111e+01	2.6328e+00
LAE	3.9654e+03	1.2173e-16	9.3120e-01	6.8567e+01
LAE	3.9667e+03	4.5948e-17	2.6300e-02	9.1696e+02
OII	4.1870e+03	7.7872e-16	6.3077e+01	7.2192e+00
LAE	4.1951e+03	4.3788e-17	4.9990e-01	5.1419e+01
LAE	3.8236e+03	6.7165e-17	6.2500e-02	5.2406e+02
LAE	3.9538e+03	5.3760e-17	2.2603e+00	1.2402e+01
LAE	4.0419e+03	6.3032e-17	6.6320e-01	5.1794e+01
OII	3.9786e+03	3.0021e-16	2.7308e+02	5.8050e-01
OII	4.1170e+03	2.6455e-16	1.0220e+01	1.4635e+01
LAE	4.1956e+03	4.9179e-17	4.4280e-01	6.5215e+01
LAE	4.1135e+03	1.0739e-16	4.9620e-01	1.2215e+02
OII	4.1560e+03	8.9969e-17	4.8976e+00	1.0584e+01
LAE	3.8885e+03	6.1247e-17	4.2850e-01	7.2090e+01
LAE	4.0775e+03	5.0746e-17	9.3800e-02	3.0002e+02
LAE	4.1958e+03	4.8992e-17	-5.9000e-03	1.0000e+04
LAE	4.1221e+03	8.2271e-17	2.1200e-01	2.1996e+02
OII	4.1891e+03	9.8100e-17	1.8054e+01	3.1805e+00
LAE	4.0046e+03	9.1067e-17	1.0364e+00	4.7005e+01
LAE	3.9867e+03	8.9959e-17	2.2220e-01	2.1464e+02
LAE	3.8831e+03	7.9443e-17	7.9117e+00	5.0503e+00
LAE	3.8004e+03	1.3130e-16	1.3910e-01	4.5475e+02
LAE	4.0909e+03	6.1356e-17	1.7990e-01	1.9039e+02
LAE	3.9045e+03	6.6428e-17	8.6800e-02	3.8917e+02
LAE	4.1544e+03	6.9078e-17	3.8670e-01	1.0284e+02
LAE	4.1445e+03	6.4631e-17	3.4990e-01	1.0583e+02
OII	4.0258e+03	1.0760e-16	1.7973e+01	3.2365e+00
LAE	3.9401e+03	9.2280e-17	5.3540e-01	8.9253e+01
LAE	4.1708e+03	1.2064e-16	3.3850e-01	2.0680e+02
OII	3.8426e+03	4.5240e-15	8.4552e+02	2.6353e+00
LAE	3.8096e+03	6.9613e-17	4.3800e-02	7.6941e+02
LAE	3.9303e+03	1.2377e-16	1.1734e+00	5.4350e+01
LAE	4.0347e+03	5.8965e-17	1.8860e-01	1.6976e+02
LAE	3.8324e+03	9.2507e-17	1.6955e+00	2.6730e+01
LAE	4.0611e+03	7.2823e-17	5.0000e-04	8.0123e+04
OII	4.0313e+03	3.6394e-15	2.2009e+03	8.9640e-01
LAE	3.8996e+03	6.4822e-17	3.2560e-01	1.0098e+02
LAE	3.8023e+03	6.8957e-17	4.9007e+00	6.7856e+00
LAE	4.1310e+03	4.6853e-17	1.3610e-01	1.9596e+02
LAE	4.0977e+03	8.1560e-17	1.0622e+00	4.3006e+01
OII	4.0889e+03	7.8708e-17	3.5981e+00	1.2199e+01
LAE	4.0441e+03	9.7659e-17	2.4945e+00	2.1358e+01
LAE	4.1459e+03	8.1652e-17	4.4335e+00	1.0559e+01
LAE	4.0104e+03	5.2536e-17	1.3810e-01	2.0408e+02
LAE	4.1545e+03	4.5866e-17	3.1330e-01	8.4283e+01
LAE	3.8921e+03	7.4878e-17	2.5301e+00	1.4954e+01
LAE	3.9774e+03	4.7980e-17	1.0926e+00	2.3172e+01
LAE	4.0140e+03	6.3829e-17	7.3080e-01	4.6941e+01
OII	4.0768e+03	5.3242e-17	1.3532e+01	2.1813e+00
LAE	4.0803e+03	5.4101e-17	2.9900e-01	1.0048e+02
LAE	3.8621e+03	1.8651e-16	2.3010e-01	4.0329e+02
LAE	4.1227e+03	7.7205e-17	1.3810e-01	3.1695e+02
LAE	4.1837e+03	5.0047e-17	3.0208e+00	9.6727e+00
OII	4.1508e+03	6.7175e-17	1.5318e+00	2.5202e+01
LAE	3.8106e+03	1.1339e-16	3.6883e+00	1.4891e+01
LAE	3.9301e+03	1.2506e-16	2.5090e-01	2.5681e+02
LAE	3.9441e+03	5.6926e-17	4.3580e-01	6.7779e+01
OII	4.0249e+03	1.4416e-16	4.3597e+02	1.7870e-01
LAE	3.9631e+03	7.5864e-17	5.0000e-04	7.9492e+04
LAE	3.8013e+03	7.9026e-17	1.1340e-01	3.3590e+02
LAE	4.1628e+03	5.2537e-17	7.7400e-02	3.9234e+02
OII	4.1794e+03	1.5478e-16	6.8477e+00	1.3170e+01
LAE	3.8147e+03	1.3093e-16	2.1063e+00	3.0172e+01
LAE	3.9434e+03	9.3436e-17	4.7550e-01	1.0192e+02
OII	4.1680e+03	9.8229e-17	1.1441e+01	4.9751e+00
LAE	4.1300e+03	1.0045e-16	8.8030e-01	6.4922e+01
LAE	4.1270e+03	1.3349e-16	9.7500e-02	7.7786e+02
LAE	4.1021e+03	6.4969e-17	3.2650e-01	1.1169e+02
LAE	3.9331e+03	6.1524e-17	5.2900e-01	6.0011e+01
LAE	4.1826e+03	4.8199e-17	1.7840e-01	1.5766e+02
OII	3.8643e+03	1.0488e-15	2.4369e+02	2.1438e+00
LAE	4.0148e+03	6.3496e-17	1.2060e-01	2.8308e+02
LAE	4.1843e+03	9.1451e-17	8.6020e-01	6.2089e+01
LAE	3.9513e+03	1.3174e-16	1.3300e-01	5.1586e+02
LAE	4.1470e+03	1.5126e-16	1.0849e+00	7.9981e+01
OII	3.9882e+03	4.1143e-16	1.1335e+01	1.9259e+01
LAE	4.0418e+03	5.2492e-17	1.9728e+00	1.4499e+01
LAE	4.0523e+03	9.1635e-17	2.4780e-01	2.0256e+02
LAE	3.8378e+03	8.2219e-17	4.8170e-01	8.3859e+01
OII	4.0949e+03	7.5892e-17	6.0298e+01	7.0400e-01
LAE	3.8760e+03	6.6843e-17	1.6516e+00	2.0282e+01
LAE	3.8840e+03	1.0543e-16	4.4440e-01	1.1938e+02
LAE	3.8842e+03	6.2104e-17	8.4000e-02	3.7207e+02
LAE	4.0336e+03	5.4826e-17	2.5100e-01	1.1855e+02
LAE	4.0720e+03	1.0009e-16	2.2529e+00	2.4572e+01
OII	3.9772e+03	4.0466e-16	9.4112e+01	2.2687e+00
LAE	3.8590e+03	5.7487e-17	6.0000e-04	4.7593e+04
LAE	3.9325e+03	5.7875e-17	2.3160e-01	1.2891e+02
LAE	3.9464e+03	5.3621e-17	3.7870e-01	7.3558e+01
LAE	4.0842e+03	5.8759e-17	-6.5500e-02	1.0000e+04
OII	4.0440e+03	1.6526e-16	7.3185e+00	1.2318e+01
LAE	4.0272e+03	6.0078e-17	1.0340e-01	3.1432e+02
LAE	3.9299e+03	6.6034e-17	2.4730e-01	1.3756e+02
LAE	4.1268e+03	7.1399e-17	6.6720e-01	6.0790e+01
LAE	3.8473e+03	1.4487e-16	6.2180e-01	1.1503e+02
LAE	3.8092e+03	7.3257e-17	2.4871e+00	1.4256e+01
LAE	3.9380e+03	1.0879e-16	5.5070e-01	1.0219e+02
OII	4.1180e+03	4.8820e-17	4.8233e+00	5.7253e+00
LAE	3.9284e+03	5.5581e-17	-9.4800e-02	1.0000e+04
LAE	3.8176e+03	7.9320e-17	9.1100e-02	4.2327e+02
LAE	4.1215e+03	9.2460e-17	5.4673e+00	9.5821e+00
LAE	4.1037e+03	5.1284e-17	1.4250e-01	2.0216e+02
LAE	4.1041e+03	8.2810e-17	6.6728e+00	6.9726e+00
LAE	4.1495e+03	6.5314e-17	1.9710e-01	1.9032e+02
OII	4.0209e+03	1.7344e-16	1.3008e+02	7.1910e-01
LAE	3.9458e+03	5.6112e-17	7.0140e-01	4.1547e+01
OII	4.0244e+03	8.8653e-17	1.0487e+02	4.5670e-01
LAE	3.9726e+03	4.8364e-17	3.9322e+00	6.4746e+00
LAE	3.8848e+03	5.7649e-17	-2.8000e-02	1.0000e+04
LAE	4.1281e+03	5.0478e-17	2.7230e-01	1.0537e+02
OII	4.0445e+03	1.3767e-15	9.7560e+02	7.7000e-01
OII	3.8941e+03	9.8995e-17	7.1207e+00	7.0320e+00
LAE	3.9684e+03	4.3798e-17	2.9090e-01	7.9088e+01
LAE	3.8825e+03	7.9507e-17	9.5500e-02	4.1860e+02
LAE	3.9511e+03	1.7644e-16	3.8190e-01	2.4058e+02
LAE	3.9266e+03	2.6221e-16	7.1007e+00	1.8991e+01
OII	4.0955e+03	8.2577e-16	9.4141e+01	4.9077e+00
LAE	3.9446e+03	5.8098e-17	1.2340e-01	2.4435e+02
LAE	4.0751e+03	7.7752e-17	1.2870e-01	3.3465e+02
OII	4.1533e+03	2.4010e-16	2.9341e+01	4.7084e+00
