type	wavelength of EL (angstroms)	EL flux (erg/cm^2/s)	continuum flux density	EW observed
LAE	3.8478e+03	7.5546e-17	3.4770e-01	1.0730e+02
LAE	4.0806e+03	6.1729e-17	7.5900e-01	4.5173e+01
LAE	4.0981e+03	6.5120e-17	3.7290e-01	9.7827e+01
LAE	4.1693e+03	1.0505e-16	9.6000e-02	6.3449e+02
LAE	4.1616e+03	1.1746e-16	4.1110e-01	1.6506e+02
OII	4.0369e+03	5.2725e-16	5.1207e+01	5.5970e+00
LAE	4.1015e+03	6.9721e-17	1.1230e-01	3.4837e+02
LAE	3.9892e+03	4.8446e-17	8.7900e-02	2.9256e+02
LAE	4.1024e+03	5.3178e-17	3.7617e+00	7.9359e+00
LAE	4.0238e+03	4.9771e-17	4.3500e-01	6.1794e+01
OII	4.1647e+03	9.3390e-16	4.0701e+01	1.3276e+01
